user_name,tweet
BryanCranston,"Me as Pres. Johnson (190lbs-2+ hrs makeup!) A sneak tease for #AllTheWay, on @HBO this May. https://t.co/NraISAav7i https://t.co/fs6oeiLb88"
BryanCranston,Soaked on the set of #WhyHim?How can getting wet - fully clothed be so much fun? You are going down James Franco! https://t.co/jpHUe4Yokx
BryanCranston,"Search words read as if ESPN radio is gay. No, but my friend is now out and able to breathe deep. Proud of ya Steve! https://t.co/FGr5gFytMb"
BryanCranston,At the Vanity Fair party last night I met the great @DonRickles What a thrill to chat with this comic genius! https://t.co/HPUh8Un3zn
BryanCranston,"Wow! I visited my elementary school w/ @RobinRoberts on Journey to the Oscars on ""20/20"" tonight 10 p.m. ET on ABC.  https://t.co/ulp5H6JBTH"
BryanCranston,When you're dirty you take a bath. When you're naughty you take a bath with someone else. Watch @jimmyfallon show tonight! Is that a sponge?
BryanCranston,"My last tweet was satirical. But Senator McConnell, citizens DO have a voice in selecting Justices. It's called a presidential election."
BryanCranston,"Re: Supreme Court Judge. Sen McConnell: ""@POTUS believes 11 months is almost 1 year. I believe it is almost 0 years."" Oh, Mitch. It's time"
BryanCranston,https://t.co/HMCGiwGEXo
BryanCranston,Kung Fu Panda 3 opens today! But the nice folks @MovieTickets are still trying to convince me that Pandas are real. https://t.co/VWxVSK8ILU
BryanCranston,"""A background check on all gun purchases.""  What isn't reasonable about that? Thank you @POTUS for doing what is right. #potusstrongfinish"
BryanCranston,"Btw, my new pic is half of a parentheses. Your comments complete it. I read 'em all - and love  hearing your thoughts. Happy New Year. BC"
BryanCranston,Saw #StarWars yesterday and just loved it! @OfficalJJAbrams you killed it! An homage and a new adventure.The force is with me. Thank you. BC
BryanCranston,"“I'm just saving the world from total destruction!"" Catch the season finale of @SuperMansiontv only on @Crackle: https://t.co/vtEmXBm5CL “"
BryanCranston,https://t.co/YDnq4z39I9
BryanCranston,The day the SAG awards are announced is the 99th birthday of Hollywood legend Kirk Douglas! HAPPY BIRTHDAY SPARTACUS https://t.co/D0qbo4rk6Z
BryanCranston,"A SAG nomination for Helen Mirren, myself, and the cast of Trumbo has me so joyous -I'm beside myself. https://t.co/n2rkanByfb"
BryanCranston,https://t.co/6qwrJpFE1j
BryanCranston,What would you never guess I'd be a member of? Mensa. A boy band. A Furry club? The answer is on tonight's Late Late Show with James Corden.
BryanCranston,"My Twitter page asks: What's happening? The tragedy today in #Paris the world is left wondering the same, what's happening? Pray for peace."
BryanCranston,Crystal meth comes to the Smithsonian courtesy of 'Breaking Bad' https://t.co/GUScQjdxIj
BryanCranston,Crystal meth comes to the Smithsonian courtesy of 'Breaking Bad' https://t.co/ok4wRWZcKC
BryanCranston,Crystal meth comes to the Smithsonian courtesy of 'Breaking Bad' https://t.co/HBvVVAS6XF
BryanCranston,Crystal meth comes to the Smithsonian courtesy of 'Breaking Bad' https://t.co/udECk87Ptp
